Nombre,Descripción,Precio,Categoría,Imagen,id,slug
Agua mineral 330 ml.,Perrier,$40.00,🥤 Bebidas,,51,51
,,,,,52,52
Agua natural 500 ml.,,$15.00,🥤 Bebidas,,53,53
Coca cola 335 ml.,Lata,$25.00,🥤 Bebidas,,54,54
Fanta naranja 335 ml,Lata,$25.00,🥤 Bebidas,,55,55
Sprite 335 ml.,Lata,$25.00,🥤 Bebidas,,56,56
Coca cola light 335 ml.,Lata,$25.00,🥤 Bebidas,,57,57
Té 1 litro,Únicamente para llevar,$35.00,🥤 Bebidas,,58,58
,,,,,59,59
Queso gratinado,Todo extra tiene un costo adicional sobre el valor indicado en el menú.,$40.00,🥢 Ingrediente extra,,60,60
"Queso gratinado chipotle ",Todo extra tiene un costo adicional sobre el valor indicado en el menú.,$45.00,🥢 Ingrediente extra,,61,61
"Porción extra de philadelphia ",Todo extra tiene un costo adicional sobre el valor indicado en el menú.,$25.00,🥢 Ingrediente extra,,62,62
"Ingrediente extra (Camarón, res, pollo ó tocino)",Todo extra tiene un costo adicional sobre el valor indicado en el menú.,$25.00,🥢 Ingrediente extra,,63,63
"Ingrediente extra (Salmón, pulpo, atún o masago)",Todo extra tiene un costo adicional sobre el valor indicado en el menú.,$35.00,🥢 Ingrediente extra,,64,64
Porción de tampico,Todo extra tiene un costo adicional sobre el valor indicado en el menú.,$30.00,🥢 Ingrediente extra,,65,65
"Porción de tampico spicy ",Todo extra tiene un costo adicional sobre el valor indicado en el menú.,$35.00,🥢 Ingrediente extra,,66,66
Porción de kanikama,Todo extra tiene un costo adicional sobre el valor indicado en el menú.,$35.00,🥢 Ingrediente extra,,67,67
"Soya, mayonesa, aderezo, anguila o sriracha extra para llevar",Todo extra tiene un costo adicional sobre el valor indicado en el menú.,$5.00,🥢 Ingrediente extra,,68,68
Contenedor con todo para llevar,Todo extra tiene un costo adicional sobre el valor indicado en el menú.,$15.00,🥢 Ingrediente extra,,69,69
"Contenedor vacío para llevar ",Chico o grande,$5.00,🥢 Ingrediente extra,,70,70
"Soya aguachile ",Todo extra tiene un costo adicional sobre el valor indicado en el menú.,$15.00,🥢 Ingrediente extra,,71,71
Gratinado Levoy,Todo extra tiene un costo adicional sobre el valor indicado en el menú.,$55.00,🥢 Ingrediente extra,,72,72
"Extra aguacate ",,$15.00,🥢 Ingrediente extra,,73,73
,,,,,74,74
Flan,,$75.00,🍰 Postres,https://drive.google.com/file/d/1A20Plf07CXntqtqu4Coiw0s6hlI05W55/view?usp=share_link,75,75
